"name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"Nélson Semedo","D","30","Portugal","26","6","1","0","6","2","22","27","4","0","2"
"Gerard Piqué","D","37","Spain","35","0","4","2","18","10","24","21","6","0","3"
"JeanClair Todibo","D","24","France","2","0","0","0","0","0","4","0","2","0","6"
"Clément Lenglet","D","28","France","23","1","1","0","6","2","30","14","8","1","15"
"Yaison Murillo","D","30","Colombia","3","1","0","0","1","1","1","3","0","0","17"
"Jordi Alba","D","34","Spain","36","4","2","8","13","5","25","19","6","0","18"
"Sergi Roberto","D","31","Spain","29","6","0","7","9","1","18","33","3","0","20"
"Samuel Umtiti","D","30","France","14","1","0","1","2","0","13","16","4","0","23"
"Thomas Vermaelen","D","38","Belgium","9","2","0","0","2","0","10","4","2","0","24"
"Juan Miranda","D","24","Spain","0","0","0","0","0","0","0","0","0","0","27"
"Jorge Cuenca","D","24","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33"
"Chumi","D","24","Spain","0","0","0","0","0","0","0","0","0","0","36"
"Guillem Jaime","D","25","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38"
"Moussa Wagué","D","25","Senegal","3","1","0","0","1","1","9","0","1","0","40"
"Ivan Rakitic","M","35","Croatia","34","5","3","5","36","11","27","53","5","1","4"
"Sergio Busquets","M","35","Spain","35","5","0","1","8","0","38","54","10","0","5"
"Philippe Coutinho","M","31","Brazil","34","12","5","2","68","32","19","45","2","0","7"
"Arthur","M","27","Brazil","27","8","0","1","6","4","11","40","2","0","8"
"Rafinha","M","31","Brazil","5","2","0","0","2","0","7","8","1","0","12"
"KevinPrince Boateng","M","36","Ghana","3","0","0","0","3","1","3","9","1","0","19"
"Carles Aleñá","M","26","Spain","17","11","2","0","14","3","9","14","2","0","21"
"Arturo Vidal","M","36","Chile","33","11","3","7","24","9","58","32","7","0","22"
"Ricard Puig","M","24","Spain","2","0","0","0","0","0","1","1","0","0","28"
"Alex Collado","M","24","Spain","1","1","0","0","2","0","0","1","0","0","34"
"Oriol Busquets","M","25","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35"
"Luis Suárez","F","37","Uruguay","33","2","21","6","112","58","31","57","5","0","9"
"Lionel Messi","F","36","Argentina","34","5","36","13","170","87","22","66","3","0","10"
"Ousmane Dembélé","F","26","France","29","9","8","5","39","17","22","22","1","0","11"
"Malcom","F","26","Brazil","15","9","1","2","11","6","5","9","0","0","14"
"Paco Alcácer","F","30","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17"
"Abel Ruiz","F","24","Spain","1","1","0","0","1","1","0","0","0","0","29"
"Carles Pérez","F","25","Spain","1","1","0","0","1","0","0","0","0","0","43"
